customer_id,age,gender,location,monthly_income,monthly_emi_outflow,total_credit_limit,current_outstanding,credit_utilization_ratio,num_open_loans,repayment_history_score,dpd_last_3_months,num_hard_inquiries_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,months_since_last_default,target_credit_score_movement
1,45,Female,Rural,7323.55,1275.56,37196.92,14655.59,0.394,2,90,0,5,-90.78,25382.41,51.0,decrease
2,38,Other,Rural,7896.63,598.12,36648.28,4947.52,0.135,2,100,0,0,-61.29,0.0,30.0,increase
3,47,Male,Urban,17907.45,2830.84,104893.68,34510.02,0.329,4,96,0,2,-342.0,0.0,16.0,increase
4,58,Female,Metro,13781.08,2477.5,81640.55,32329.66,0.396,3,98,0,1,-360.45,0.0,,stable
5,37,Female,Metro,1793.36,204.46,5550.47,1443.12,0.26,6,100,0,0,-17.88,0.0,,increase
6,37,Male,Metro,12904.64,1362.24,54981.68,7587.47,0.138,3,98,0,1,-84.59,0.0,,increase
7,58,Female,Metro,4008.38,1124.85,18481.63,11976.1,0.648,4,85,1,0,-37.09,0.0,,decrease
8,49,Female,Metro,4884.81,200.48,21618.06,3177.85,0.147,0,100,0,0,-39.37,0.0,,stable
9,34,Male,Urban,11925.56,880.54,58179.58,13323.12,0.229,2,98,0,1,-148.54,20992.39,,stable
10,46,Female,Metro,1953.97,85.85,9402.31,1974.49,0.21,0,100,0,0,-24.46,0.0,,increase
11,34,Male,Metro,23876.2,2000.18,101842.62,17618.77,0.173,3,98,0,1,-196.43,0.0,,increase
12,34,Female,Urban,10632.23,2185.91,54043.62,16699.48,0.309,5,100,0,0,-206.87,0.0,,increase
13,42,Male,Metro,9094.6,451.26,46914.05,4409.92,0.094,2,100,0,0,-54.63,0.0,,increase
14,18,Male,Metro,12907.12,944.12,40702.2,3826.01,0.094,2,94,0,3,-33.18,0.0,,decrease
15,19,Female,Urban,13406.0,542.94,44431.71,6131.58,0.138,1,98,0,1,-68.36,0.0,,stable
16,33,Male,Metro,8415.74,1548.88,33730.19,24150.82,0.716,3,69,1,3,164.55,0.0,,decrease
17,27,Male,Rural,8767.66,1623.37,43018.14,28822.15,0.67,0,81,1,2,-17.85,0.0,,decrease
18,43,Male,Urban,3021.78,618.28,13979.27,6150.88,0.44,6,100,0,0,-76.2,0.0,,increase
19,29,Male,Urban,10592.14,1433.14,35378.23,16167.85,0.457,4,98,0,1,-180.26,0.0,,stable
20,23,Female,Metro,11017.33,1361.42,63381.48,18951.06,0.299,1,96,0,2,-187.81,0.0,,decrease
21,57,Male,Metro,19718.14,2855.63,80285.23,21757.3,0.271,7,98,0,1,-242.57,71886.32,,decrease
22,37,Female,Urban,6777.85,538.56,33950.87,2444.46,0.072,3,98,0,1,-27.25,20595.9,,stable
23,40,Male,Rural,6320.12,547.32,18753.45,6132.38,0.327,1,100,0,0,-75.97,0.0,68.0,increase
24,22,Male,Urban,3143.81,419.04,16682.59,4771.22,0.286,6,94,0,3,-41.37,7353.31,,decrease
25,33,Male,Urban,5997.7,1594.34,26325.9,20902.76,0.794,5,88,0,1,-103.58,0.0,,stable
26,41,Female,Metro,11045.73,1247.31,38053.17,11301.79,0.297,2,94,0,3,-98.0,0.0,,decrease
27,26,Male,Urban,9835.72,870.4,54028.03,7401.84,0.137,3,100,0,0,-91.69,0.0,,increase
28,44,Male,Metro,23885.78,4182.99,62978.94,15114.95,0.24,5,100,0,0,-187.24,0.0,,increase
29,32,Male,Metro,9945.51,1453.72,34740.69,10179.02,0.293,3,96,0,2,-100.88,0.0,,stable
30,36,Female,Urban,5622.78,1148.68,30325.19,15405.2,0.508,0,98,0,1,-171.75,0.0,,stable
31,32,Male,Metro,10630.71,1499.73,63208.86,17698.48,0.28,1,96,0,2,-175.4,0.0,,stable
32,62,Female,Urban,4061.55,501.58,17710.67,6659.21,0.376,0,100,0,0,-82.49,0.0,,increase
33,39,Male,Rural,12894.26,370.12,36145.52,4048.3,0.112,1,96,0,2,-40.12,0.0,,stable
34,27,Male,Metro,4430.94,550.6,24584.97,7375.49,0.3,2,98,0,1,-82.23,0.0,,increase
35,49,Male,Metro,5422.02,255.31,18041.04,3481.92,0.193,1,100,0,0,-43.13,0.0,,increase
36,25,Male,Metro,3391.36,404.04,16966.35,5446.2,0.321,1,98,0,1,-60.72,0.0,,increase
37,42,Female,Metro,7629.94,1027.04,19768.91,7966.87,0.403,4,98,0,1,-88.82,0.0,,stable
38,18,Other,Urban,9425.22,1295.66,38411.46,16055.99,0.418,3,98,0,1,-179.01,0.0,,stable
39,24,Male,Metro,22905.41,1000.43,74573.18,12602.87,0.169,0,79,1,3,7.81,84328.32,,decrease
40,42,Male,Urban,5763.75,1024.02,25907.42,10751.58,0.415,2,100,0,0,-133.19,0.0,,increase
41,48,Male,Urban,5127.76,685.71,15989.1,10632.75,0.665,2,96,0,2,-105.37,0.0,,stable
42,42,Male,Metro,1111.92,171.02,5698.95,2661.41,0.467,1,98,0,1,-29.67,0.0,,stable
43,38,Male,Urban,7014.32,760.97,40370.18,6015.16,0.149,3,98,0,1,-67.06,0.0,,increase
44,36,Female,Rural,5199.49,410.77,23233.89,4972.05,0.214,2,98,0,1,-55.43,6076.97,,stable
45,22,Male,Metro,7280.06,783.39,30616.22,2051.29,0.067,3,98,0,1,-22.87,0.0,,increase
46,31,Female,Urban,17215.74,2354.79,71314.16,33303.71,0.467,2,98,0,1,-371.3,0.0,,increase
47,34,Male,Urban,8793.83,991.15,44323.17,9662.45,0.218,2,100,0,0,-119.7,0.0,,increase
48,52,Male,Urban,4483.89,1281.67,20628.74,12501.02,0.606,4,98,0,1,-139.37,0.0,,stable
49,44,Male,Metro,3819.24,974.43,18777.78,10271.45,0.547,2,83,1,1,-19.09,0.0,,decrease
50,18,Male,Rural,2268.49,580.6,8230.17,4510.13,0.548,4,94,0,3,-39.11,0.0,,stable
51,43,Male,Urban,4392.33,368.47,16396.7,7050.58,0.43,2,83,1,1,-13.1,0.0,36.0,decrease
52,35,Male,Urban,7795.66,1581.64,36324.78,20668.8,0.569,3,98,0,1,-230.44,0.0,,increase
53,31,Male,Urban,1370.22,228.13,6316.52,2930.87,0.464,4,85,1,0,-9.08,0.0,,decrease
54,47,Female,Rural,4639.97,525.63,11816.48,2942.3,0.249,3,98,0,1,-32.8,0.0,,stable
55,52,Male,Rural,8939.87,960.62,42115.59,12676.79,0.301,2,83,1,1,-23.56,0.0,,decrease
